timestep,Machine,Reward,Total Reward,Regret,ucb A score,ucb B score,ucb C score,,,
1,flaming crates A,0,,,1.4823,1.4823,1.4823,,,
2,treasures of egypt B,0,,,1.4823,1.4823,1.4823,,,
3,fruit smoothie C,0,,,1.4823,1.4823,1.4823,,,
4,flaming crates A,0,,,1.1774,1.6651,1.6651,,,
5,treasures of egypt B,0,,,1.2686,1.2686,1.7941,,,
6,fruit smoothie C,0,,,1.3386,1.3386,1.3386,,,
7,flaming crates A,2,,,1.8056,1.395,1.395,,,
8,flaming crates A,0,,,1.5197,1.442,1.442,,,
9,flaming crates A,0,,,1.3375,1.4823,1.4823,,,
10,treasures of egypt B,2,,,1.3597,1.9056,1.5174,,,
11,treasures of egypt B,0,,,1.3794,1.595,1.5485,,,
12,treasures of egypt B,0,,,1.3794,1.595,1.5485,,,
13,treasures of egypt B,0,,,1.4129,1.258,1.6015,,,
14,fruit smoothie C,10,,,1.4274,1.2712,4.6597,,,
15,fruit smoothie C,1,,,1.4408,1.2834,3.9136,,,
16,fruit smoothie C,0,,,1.4531,1.2947,3.2531,,,
17,fruit smoothie C,0,,,1.4646,1.3051,2.8051,,,
18,fruit smoothie C,0,,,1.4752,1.3149,2.4802,,,
19,fruit smoothie C,0,,,1.4853,1.324,2.233,,,
20,fruit smoothie C,0,,,1.4947,1.3326,2.0381,,,
21,fruit smoothie C,0,,,1.5035,1.3407,1.8803,,,
22,fruit smoothie C,0,,,1.5119,1.3484,1.7497,,,
23,fruit smoothie C,0,,,1.5199,1.3557,1.6396,,,
24,fruit smoothie C,0,,,1.5275,1.3626,1.5454,,,
25,fruit smoothie C,0,,,1.5347,1.3692,1.4638,,,
26,flaming crates A,0,,,1.3755,1.3755,1.4679,,,
27,fruit smoothie C,0,,,1.3815,1.3815,1.3962,,,
28,fruit smoothie C,0,,,1.3872,1.3872,1.3329,,,
29,flaming crates A,0,,,1.2666,1.3928,1.3363,,,
30,treasures of egypt B,0,,,1.2715,1.2715,1.3395,,,
31,fruit smoothie C,0,,,1.2762,1.2762,1.2827,,,
32,fruit smoothie C,0,,,1.2808,1.2808,1.2317,,,
33,flaming crates A,0,,,1.1849,1.2852,1.2344,,,
34,treasures of egypt B,5,,,1.1889,1.8139,1.2371,,,
35,treasures of egypt B,0,,,1.1928,1.6666,1.2396,,,
36,treasures of egypt B,5,,,1.1965,2.0466,1.2421,,,
37,treasures of egypt B,132,,,1.2001,13.9012,1.2445,,,
38,treasures of egypt B,0,,,1.2036,12.7786,1.2469,,,
39,treasures of egypt B,0,,,1.207,11.8277,1.2491,,,
40,treasures of egypt B,0,,,1.2103,11.0117,1.2513,,,
41,treasures of egypt B,0,,,1.2135,10.3037,1.2535,,,
42,treasures of egypt B,0,,,1.2167,9.6835,1.2555,,,
43,treasures of egypt B,0,,,1.2197,9.1358,1.2576,,,
44,treasures of egypt B,0,,,1.2226,8.6484,1.2595,,,
45,treasures of egypt B,0,,,1.2255,8.212,1.2615,,,
46,treasures of egypt B,0,,,1.2283,7.8188,1.2633,,,
47,treasures of egypt B,0,,,1.2311,7.4627,1.2652,,,
48,treasures of egypt B,0,,,1.2338,7.1387,1.267,,,
49,treasures of egypt B,0,,,1.2364,6.8426,1.2687,,,
50,treasures of egypt B,0,,,1.2389,6.571,1.2704,,,
51,,,,,,,,AVG REWARD A,AVG REWARD B,AVG REWARD C
52,,,,,,,,0.25,6,0.61
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,,,,,,,,,,
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,,,,,,,,,,
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,,,,,,,,,,
140,,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
147,,,,,,,,,,
148,,,,,,,,,,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,,,,,,,,,,
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,,,,,,
161,,,,,,,,,,
162,,,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,,,,,,
166,,,,,,,,,,
167,,,,,,,,,,
168,,,,,,,,,,
169,,,,,,,,,,
170,,,,,,,,,,
171,,,,,,,,,,
172,,,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
175,,,,,,,,,,
176,,,,,,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,,,,,,,,,,
181,,,,,,,,,,
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,,,,,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,,,,,,,,
195,,,,,,,,,,
196,,,,,,,,,,
197,,,,,,,,,,
198,,,,,,,,,,
199,,,,,,,,,,
200,,,,,,,,,,
201,,,,,,,,,,
202,,,,,,,,,,
203,,,,,,,,,,
204,,,,,,,,,,
205,,,,,,,,,,
206,,,,,,,,,,
207,,,,,,,,,,
208,,,,,,,,,,
209,,,,,,,,,,
210,,,,,,,,,,
211,,,,,,,,,,
212,,,,,,,,,,
213,,,,,,,,,,
214,,,,,,,,,,
215,,,,,,,,,,
216,,,,,,,,,,
217,,,,,,,,,,
218,,,,,,,,,,
219,,,,,,,,,,
220,,,,,,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,,,,
229,,,,,,,,,,
230,,,,,,,,,,
231,,,,,,,,,,
232,,,,,,,,,,
233,,,,,,,,,,
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,,,,,,,,
238,,,,,,,,,,
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,
243,,,,,,,,,,
244,,,,,,,,,,
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,,
251,,,,,,,,,,
252,,,,,,,,,,
253,,,,,,,,,,
254,,,,,,,,,,
255,,,,,,,,,,
256,,,,,,,,,,
257,,,,,,,,,,
258,,,,,,,,,,
259,,,,,,,,,,
260,,,,,,,,,,
261,,,,,,,,,,
262,,,,,,,,,,
263,,,,,,,,,,
264,,,,,,,,,,
265,,,,,,,,,,
266,,,,,,,,,,
267,,,,,,,,,,
268,,,,,,,,,,
269,,,,,,,,,,
270,,,,,,,,,,
271,,,,,,,,,,
272,,,,,,,,,,
273,,,,,,,,,,
274,,,,,,,,,,
275,,,,,,,,,,
276,,,,,,,,,,
277,,,,,,,,,,
278,,,,,,,,,,
279,,,,,,,,,,
280,,,,,,,,,,
281,,,,,,,,,,
282,,,,,,,,,,
283,,,,,,,,,,
284,,,,,,,,,,
285,,,,,,,,,,
286,,,,,,,,,,
287,,,,,,,,,,
288,,,,,,,,,,
289,,,,,,,,,,
290,,,,,,,,,,
291,,,,,,,,,,
292,,,,,,,,,,
293,,,,,,,,,,
294,,,,,,,,,,
295,,,,,,,,,,
296,,,,,,,,,,
297,,,,,,,,,,
298,,,,,,,,,,
299,,,,,,,,,,
300,,,,,,,,,,
